Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,GRM188R61E475KE11D
C2,0805,1,10uF,GRM21BR61H106KE43L
C3,0402,1,1uF,GRM155R61E105KA12D
C4,0603,1,10uF,
C5,0603,1,22uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D9",D_SOD-323_HandSoldering,83,1n4148,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",1206,84,LED,
D84,LED_Wurth_WL-SBSW,1,LED_Dual_KAK,
J1,CON_781710004,1,781710004,
J2,GCT_FFC2B28-12-G,1,Conn_01x12_MountingPin,
J7,nRF_Programmer,1,Conn_02x03_Counter_Clockwise,
L1,0805,1,2.2uH,
Q1,SOT-363_SC-70-6,1,MMDT2222A,
"Q2, Q4, Q5, Q6, Q7, Q8",SOT-23,6,DMN24H3D5L,
"R1, R6",0402,2,22R,
"R100, R101, R102, R13, R14, R15",0402,6,100R,
"R11, R2, R3, R5",0402,4,250R,
R16,0402,1,1M,
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0603,83,R,
R4,0603,1,250R,
R7,0402,1,36.5k,
R8,0402,1,8.25k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW9",gateron-ks27-choc-v1-mx-hotswap,83,~,
"SW101, SW102",BTN_KMR2_4.6X2.8,2,KMR2,
"TP1, TP2, TP3",TestPoint_Pad_1.5x1.5mm,3,TestPoint_Flag,
U1,Core52840,1,Core52840,
U2,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900,
U4,DFN6_2X2-0p65_WETTABLEFLANKS_STM-L,1,LDL40PU33RY,
