Designator,Mid X,Mid Y,Rotation,Layer
C11,51.4925,-53.814,270.0,bottom
C12,89.7195,-53.814,270.0,bottom
C13,108.7695,-53.814,270.0,bottom
C14,127.8195,-53.814,270.0,bottom
C15,146.9965,-53.814,270.0,bottom
C16,175.5715,-53.814,270.0,bottom
C17,194.6215,-53.814,270.0,bottom
C18,213.6715,-53.814,270.0,bottom
C19,232.7215,-53.814,270.0,bottom
C20,261.2965,-53.814,270.0,bottom
C21,280.3465,-53.814,270.0,bottom
C22,299.3965,-53.814,270.0,bottom
C23,318.4465,-53.814,270.0,bottom
C24,342.1955,-53.814,270.0,bottom
C25,361.2455,-53.814,270.0,bottom
C26,51.7465,-77.69,270.0,bottom
C27,70.7965,-77.69,270.0,bottom
C28,89.8465,-77.69,270.0,bottom
C29,108.8965,-77.69,270.0,bottom
C3,163.2525,-147.527,90.0,bottom
C30,127.9465,-77.69,270.0,bottom
C31,146.9965,-77.69,270.0,bottom
C32,166.0465,-77.69,270.0,bottom
C33,185.0965,-77.69,270.0,bottom
C34,204.1465,-77.69,270.0,bottom
C35,223.1965,-77.69,270.0,bottom
C36,242.2465,-77.69,270.0,bottom
C37,261.2965,-77.69,270.0,bottom
C38,280.3465,-77.69,270.0,bottom
C39,308.9215,-77.69,270.0,bottom
C4,198.458,-154.893,180.0,bottom
C40,342.3225,-77.69,270.0,bottom
C41,361.3725,-77.69,270.0,bottom
C42,56.4455,-96.74,270.0,bottom
C43,80.3215,-96.74,270.0,bottom
C44,99.3715,-96.74,270.0,bottom
C45,118.4215,-96.74,270.0,bottom
C46,137.4715,-96.74,270.0,bottom
C47,156.5215,-96.74,270.0,bottom
C48,175.5715,-96.74,270.0,bottom
C49,194.6215,-96.74,270.0,bottom
C5,198.6855,-152.988,180.0,bottom
C50,213.6715,-96.74,270.0,bottom
C51,232.7215,-96.74,270.0,bottom
C52,251.7715,-96.74,270.0,bottom
C53,270.8215,-96.74,270.0,bottom
C54,289.8715,-96.74,270.0,bottom
C55,313.7475,-96.74,270.0,bottom
C56,342.3225,-96.74,270.0,bottom
C57,361.3725,-96.74,270.0,bottom
C58,58.9855,-115.79,270.0,bottom
C59,85.1475,-115.79,270.0,bottom
C6,329.1145,-132.287,180.0,bottom
C60,104.1975,-115.79,270.0,bottom
C61,123.2475,-115.79,270.0,bottom
C62,142.2975,-115.79,270.0,bottom
C63,161.3475,-115.79,270.0,bottom
C64,180.3975,-115.79,270.0,bottom
C65,199.4475,-115.79,270.0,bottom
C66,218.4975,-115.79,270.0,bottom
C67,237.5475,-115.663,270.0,bottom
C68,256.5975,-115.79,270.0,bottom
C69,275.6475,-115.79,270.0,bottom
C7,160.2045,-147.273,0.0,bottom
C70,306.6355,-115.79,270.0,bottom
C71,63.6845,-134.827,270.0,bottom
C72,94.6725,-134.84,270.0,bottom
C73,113.5955,-134.713,270.0,bottom
C74,132.7725,-134.713,270.0,bottom
C75,151.8225,-134.713,270.0,bottom
C76,170.7455,-134.713,270.0,bottom
C77,189.7955,-134.713,270.0,bottom
C78,208.8455,-134.713,270.0,bottom
C79,227.8955,-134.713,270.0,bottom
C8,165.0305,-143.908,270.0,bottom
C80,246.9455,-134.713,270.0,bottom
C81,265.9955,-134.713,270.0,bottom
C82,301.6825,-134.713,270.0,bottom
C83,342.1955,-134.713,270.0,bottom
C84,54.1595,-153.763,270.0,bottom
C85,77.9085,-153.763,270.0,bottom
C86,101.7845,-153.763,270.0,bottom
C87,173.1585,-153.763,270.0,bottom
C88,244.5325,-153.763,270.0,bottom
C89,268.4085,-153.763,270.0,bottom
C9,329.1145,-124.159,180.0,bottom
C90,292.1575,-153.763,270.0,bottom
C91,323.1455,-153.763,270.0,bottom
C92,342.1955,-153.763,270.0,bottom
C93,361.2455,-153.763,270.0,bottom
D1,62.6685,-53.42,270.0,bottom
D10,272.2185,-53.42,270.0,bottom
D100,364.6745,-53.039,0.0,bottom
D101,155.6325,-147.273,0.0,bottom
D102,55.0993,-76.8642,0.0,bottom
D103,74.1493,-76.8642,0.0,bottom
D104,93.1993,-76.8642,0.0,bottom
D105,112.2493,-76.8642,0.0,bottom
D106,131.2993,-76.8642,0.0,bottom
D107,150.3493,-76.8642,0.0,bottom
