Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12",0805,2,4.7uF,
C11,1206,1,1uF,
D85,LED_WURTH_155060AS75300,1,LED,
"GND, VBUS, VRAW",TestPoint_Pad_1.5x1.5mm,3,TestPoint_Flag,
J1,Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical,1,Conn_01x03_Pin,
J2,GCT_FFC2B28-12-G,1,GCT_FFC2B28-12-G,
J6,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
Q9,SOT-23,1,2N7002,
"R10, R8, R9",0402,3,100k,
R103,0402,1,1.87k,RT0402BRD071K87L
R104,0402,1,1k,
R105,0402,1,47k,
"R106, R108",0402,2,10k,
R107,0402,1,100R,
R12,0402,1,1.5k,
SW1,ET01M3D1SAPE,1,SW_SPDT,
U6,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
