Designator,Mid X,Mid Y,Rotation,Layer
C10,123.1392,-72.898,270.0,top
C11,122.0724,-67.5132,90.0,top
C12,116.332,-72.898,270.0,top
D85,121.92,-53.9496,0.0,top
J1,111.0,-67.0,270.0,top
J2,129.286,-72.7369,0.0,top
J6,110.915,-67.02,0.0,top
Q9,118.4656,-64.77,270.0,top
R10,133.1976,-65.9364,270.0,top
R103,122.936,-70.4596,0.0,top
R104,116.2812,-69.342,180.0,top
R105,119.9388,-67.818,90.0,top
R106,116.2812,-70.4596,180.0,top
R107,118.6688,-67.818,90.0,top
R108,117.348,-67.818,90.0,top
R12,121.7168,-55.2704,0.0,top
R8,130.6576,-65.9384,90.0,top
R9,131.9276,-65.9384,90.0,top
SW1,128.27,-54.1963,0.0,top
U6,119.6784,-71.6852,0.0,top
